annotator_id,value,sim_rating,id1,id2,pair_id
3747424,Apenas existe similitud,2,14251,76075,14251_76075
3747424,Completamente diferente,1,29094,33088,29094_33088
3747427,Poca similitud,3,37416,59899,37416_59899
3747424,Poca similitud,3,31841,3071,31841_3071
3747427,Apenas existe similitud,2,37741,35331,37741_35331
3747427,Completamente diferente,1,55093,22822,55093_22822
3747424,Completamente diferente,1,235,37194,235_37194
3747429,Apenas existe similitud,2,28437,14975,28437_14975
3747429,Poca similitud,3,19354,2134,19354_2134
3747431,Poca similitud,3,5439,27790,5439_27790
3747424,Completamente diferente,1,37485,5088,37485_5088
3747431,Poca similitud,3,24450,55236,24450_55236
3747429,Completamente diferente,1,33088,46366,33088_46366
3747429,Completamente diferente,1,62264,46366,62264_46366
3747424,Completamente diferente,1,28437,6632,28437_6632
3747429,Completamente diferente,1,29590,25047,29590_25047
3747431,Similitud notable /faltan detalles,5,27790,14975,27790_14975
3747429,Apenas existe similitud,2,59899,9975,59899_9975
3747429,Poca similitud,3,34119,7727,34119_7727
3747429,Completamente diferente,1,69790,37741,69790_37741
3747429,Apenas existe similitud,2,22822,48594,22822_48594
3747429,Completamente diferente,1,34125,12476,34125_12476
3747429,Poca similitud,3,3071,37194,3071_37194
3747429,Apenas existe similitud,2,16987,9975,16987_9975
3747429,Poca similitud,3,37485,48594,37485_48594
3747424,Similitud notable /faltan detalles,5,3348,235,3348_235
3747424,Completamente diferente,1,3348,21227,3348_21227
3747424,Completamente diferente,1,29094,46366,29094_46366
3747431,Similitud básic,4,37485,19354,37485_19354
3747429,Completamente diferente,1,29094,33088,29094_33088
3747424,Completamente diferente,1,7727,48594,7727_48594
3747424,Apenas existe similitud,2,62264,38000,62264_38000
3747429,Apenas existe similitud,2,31841,8842,31841_8842
3747424,Completamente diferente,1,31722,46366,31722_46366
3747429,Completamente diferente,1,36132,25047,36132_25047
3747431,Poca similitud,3,37461,19929,37461_19929
3747424,Apenas existe similitud,2,8842,36583,8842_36583
3747431,Poca similitud,3,69790,16872,69790_16872
3747429,Apenas existe similitud,2,21856,11142,21856_11142
3747431,Apenas existe similitud,2,35331,37844,35331_37844
3747424,Completamente diferente,1,22840,34125,22840_34125
3747424,Completamente diferente,1,28437,35331,28437_35331
3747429,Completamente diferente,1,46366,9975,46366_9975
3747429,Apenas existe similitud,2,1868,59899,1868_59899
3747429,Completamente diferente,1,31841,10052,31841_10052
3747431,Similitud notable /faltan detalles,5,3348,235,3348_235
3747429,Completamente diferente,1,55093,26165,55093_26165
3747431,Poca similitud,3,8842,36583,8842_36583
3747429,Completamente diferente,1,52438,29590,52438_29590
3747431,Poca similitud,3,28437,31722,28437_31722
3747424,Completamente diferente,1,14251,34125,14251_34125
3747429,Completamente diferente,1,33902,35331,33902_35331
3747429,Completamente diferente,1,27446,34125,27446_34125
3747431,Poca similitud,3,8851,27790,8851_27790
3747429,Apenas existe similitud,2,12971,38000,12971_38000
3747424,Completamente diferente,1,5439,46366,5439_46366
3747436,Similitud básic,4,14251,31841,14251_31841
3747431,Apenas existe similitud,2,27446,52438,27446_52438
3747429,Completamente diferente,1,7727,10052,7727_10052
3747429,Completamente diferente,1,32204,25047,32204_25047
3747429,Completamente diferente,1,66730,21227,66730_21227
3747436,Apenas existe similitud,2,8851,55236,8851_55236
3747437,Apenas existe similitud,2,28437,48594,28437_48594
3747437,Poca similitud,3,27446,37194,27446_37194
3747437,Completamente diferente,1,46366,22822,46366_22822
3747437,Similitud básic,4,33088,8842,33088_8842
3747437,Completamente diferente,1,3348,55093,3348_55093
3747437,Completamente diferente,1,3348,48594,3348_48594
3747437,Poca similitud,3,69790,12971,69790_12971
3747436,Completamente diferente,1,11068,25047,11068_25047
3747437,Completamente diferente,1,66730,7727,66730_7727
3747437,Apenas existe similitud,2,16872,25047,16872_25047
3747424,Apenas existe similitud,2,24450,55236,24450_55236
3747436,Completamente diferente,1,5088,10052,5088_10052
3747437,Poca similitud,3,28437,8863,28437_8863
3747424,Similitud básic,4,22840,36583,22840_36583
3747437,Similitud básic,4,37416,8842,37416_8842
3747437,Similitud básic,4,76075,11142,76075_11142
3747424,Completamente diferente,1,66730,14251,66730_14251
3747431,Poca similitud,3,11142,38000,11142_38000
3747424,Completamente diferente,1,3348,55093,3348_55093
3747437,Apenas existe similitud,2,24369,48594,24369_48594
3747437,Completamente diferente,1,66730,31841,66730_31841
3747437,Apenas existe similitud,2,16987,31841,16987_31841
3747437,Completamente diferente,1,34125,25047,34125_25047
3747424,Completamente diferente,1,34125,36583,34125_36583
3747431,Apenas existe similitud,2,33088,21856,33088_21856
3747437,Similitud básic,4,25639,36132,25639_36132
3747424,Completamente diferente,1,25639,37194,25639_37194
3747424,Poca similitud,3,37416,11142,37416_11142
3747424,Completamente diferente,1,69790,46366,69790_46366
3747424,Completamente diferente,1,28616,34125,28616_34125
3747424,Completamente diferente,1,37461,46366,37461_46366
3747424,Completamente diferente,1,55093,16872,55093_16872
3747424,Completamente diferente,1,26165,55236,26165_55236
3747424,Completamente diferente,1,46366,37194,46366_37194
3747424,Similitud notable /faltan detalles,5,37844,48594,37844_48594
3747431,Poca similitud,3,28616,8719,28616_8719
3747424,Completamente diferente,1,62264,48594,62264_48594
3747431,Poca similitud,3,36132,27446,36132_27446
3747431,Completamente diferente,1,33902,46366,33902_46366
3747424,Apenas existe similitud,2,22840,11142,22840_11142
3747431,Apenas existe similitud,2,37416,30582,37416_30582
3747431,Poca similitud,3,34119,21227,34119_21227
3747431,Poca similitud,3,8851,33088,8851_33088
3747431,Poca similitud,3,27790,25639,27790_25639
3747431,Poca similitud,3,37461,19354,37461_19354
3747431,Completamente diferente,1,37461,5088,37461_5088
3747431,Completamente diferente,1,1868,26165,1868_26165
3747441,Poca similitud,3,29094,10052,29094_10052
3747441,Similitud básic,4,30582,12971,30582_12971
3747441,Poca similitud,3,5088,72281,5088_72281
3747441,Completamente diferente,1,7727,46366,7727_46366
3747431,Apenas existe similitud,2,29094,76479,29094_76479
