annotator_id,sim_rating,id1,id2
3747424,0, 24369, 11142
3747424,1, 14251, 76075
3747424,0, 29094, 33088
3747424,0, 14251, 27446
3747427,2, 37416, 59899
3747424,2, 31841, 3071
3747427,1, 37741, 35331
3747424,0, 52438, 6632
3747427,0, 59899, 10842
3747427,0, 55093, 22822
3747424,0, 235, 37194
3747424,0, 38000, 37194
3747424,0, 11142, 12476
3747424,0, 16872, 10052
3747429,1, 28437, 14975
3747424,0, 33088, 37844
3747429,0, 37485, 37461
3747424,1, 34119, 62264
3747430,3, 30582, 37844
3747424,0, 7291, 9975
3747429,2, 19354, 2134
3747430,1, 52438, 37194
3747424,0, 5439, 29590
3747431,1, 8863, 21856
3747431,2, 5439, 27790
3747429,1, 21227, 38000
3747424,0, 37485, 5088
3747431,3, 27790, 52438
3747429,1, 37416, 72281
3747431,3, 30582, 22822
3747429,0, 31841, 29590
3747424,0, 48054, 22822
3747430,3, 14251, 38000
3747431,2, 24450, 55236
3747429,0, 19354, 25047
3747424,0, 22840, 15357
3747430,3, 16987, 33902
3747429,0, 10842, 14975
3747429,0, 16987, 36132
3747429,0, 46366, 36583
3747429,0, 33088, 46366
3747430,0, 29094, 1868
3747424,1, 9975, 19929
3747431,4, 32204, 235
3747429,1, 72281, 7291
3747424,0, 37461, 22822
3747429,0, 62264, 46366
3747424,0, 28437, 6632
3747431,4, 31841, 24450
3747429,4, 37416, 31722
3747429,0, 29590, 25047
3747424,0, 27790, 11068
3747431,2, 8863, 48594
3747429,1, 5439, 11068
3747424,0, 14975, 38000
3747431,3, 22822, 11068
3747424,0, 37741, 69868
3747429,3, 8842, 9975
3747424,1, 7727, 36132
3747431,1, 10842, 2134
3747429,0, 10842, 15357
3747429,0, 55093, 55236
3747424,0, 26165, 27446
3747431,1, 28616, 3348
3747424,1, 48054, 14975
3747429,0, 3071, 5088
3747431,4, 27790, 14975
3747429,1, 59899, 9975
3747431,1, 22840, 59899
3747429,0, 36132, 34125
3747424,0, 29094, 15357
3747431,1, 72281, 69868
3747424,0, 37485, 8863
3747429,2, 34119, 7727
3747429,0, 37461, 6632
3747431,3, 5439, 11068
3747424,0, 72281, 52438
3747431,5, 19354, 12476
3747429,0, 34119, 24369
3747424,0, 37485, 46366
3747429,0, 69790, 37741
3747431,2, 27790, 72281
3747424,0, 31841, 34125
3747429,3, 37741, 8842
3747431,4, 31722, 36132
3747429,0, 48054, 24369
3747424,0, 69790, 8842
3747429,1, 22822, 48594
3747429,0, 34125, 12476
3747431,1, 235, 26165
3747429,3, 69790, 36583
3747424,0, 62264, 27446
3747429,2, 3071, 37194
3747429,1, 16987, 9975
3747431,3, 27446, 11068
3747429,2, 37485, 48594
3747429,0, 37844, 15357
3747424,2, 36132, 55236
3747429,3, 3071, 36583
3747429,2, 33088, 55236
3747431,1, 46366, 52438
3747424,4, 3348, 235
3747429,0, 14251, 32204
3747424,0, 5088, 27446
3747424,0, 3348, 21227
3747424,0, 29094, 46366
3747431,2, 14251, 35331
3747424,0, 37461, 55093
3747431,2, 27446, 36583
3747424,0, 31841, 27790
3747431,2, 31841, 27446
