song_id	text	artist_name	track_name
5439	"Dulce brillo
que aún estaba afuera,
curtiendo el largo rato
de la esperanza buena.

Encorvado,
pasito en la vereda,
mirando de soslayo,
por si pintaba ella.

Tanto rato
que ya cambiaba el cielo,
y todo ensombrecía
en los sones del tiempo.

Es tan tarde
lo miro y lo comprendo
tal vez de amores venga
y hasta resulte feo.

Dulce brillo,
de bronca y media vuelta
y manos en bolsillos,
se va sin verla a ella."	Eduardo Mateo	Dulce Brillo
29094	"No exactamente yo, aunque sí,
pero no lo soy.
Creo que puedo confiar
sólo en mi propia confusión.

Arriba en la central
me hacéis creer que soy.

Del rey el delfín.
Del juego, el as de diamantes.
Pero sé bien que tan sólo soy
el que firma hojas en blanco.

En mis recuerdos ya no estoy yo,
no tengo el control.
Quisiera dimitir,
pero no me sale la voz.

Arriba en la central,
me hacéis creer que soy.

Del rey el delfín.
Del juego, el as de diamantes.
Pero sé bien que tan sólo soy
el que firma hojas en blanco"	Maga	Sí, Pero No Lo Soy
69790	"Mi novia Ximenita
le gusta pelear,
patea de costado
patea para atrás.
Pero cuando la atrapo
antes que cuente tres,
ella es una seda
y se pega del revés."	Los Piojos	Ximenita
66730	"Oh de profundis.
Oh de procella.
Ah Canto.
Cantar Eterna."	Arcana	Chant of the Awakening
28437	"Hasta la punta de tu luz,
hasta tu grito más feroz,
se trepó a la maquina.
Es enorme y avanza,
no ves cómo te come.
Ni un cachito de cielo
para tus soles.
Hasta los ojos de mamá
viven en la maquina.
Hasta tus sueños de cristal,
hasta tu vuelo más audaz,
se trepó a la maquina.
Y en que temor dejaste
que se vaya tu vida,
y te quedaste frito
emparchando las heridas.
Hasta tus mocos de campeón
viven en la maquina."	Arbolito	La Máquina
37485	"Caminito del indio
sendero coya sembrao de piedras.
Caminito del indio
que junta el valle con las estrellas.

Caminito que anduvo
de sur a norte mi raza vieja, antes que en la montaña
la Pachamama se ensombreciera.

Cantando en el cerro,
llorando en el río,
se agranda en la noche
la pena del indio.

El sol y la luna
y este canto mío
besaron tus piedras,
camino del indio.

En la noche serrana
llora la quena su honda nostalgia,
y el caminito sabe
cuál es la chola que el indio llama.

Se levanta en el cerro
la voz doliente de la baguala,
y el camino lamenta
ser el culpable de la distancia

Cantando en el cerro..."	Atahualpa Yupanqui	Camino del Indio - Remastered
48054	"Canto,
llanto,
verso en fin.
Tanto,
encanto,
toda cabe en si.

Siento
el viento
Flor de liz.
Y tu
aliento
me revela así:

Invento
toda la alegría en mí.
Volveré a nacer,
volveré a hacer
mi mejor canción,
que es para darte, hoy.

Mar, marea
quiebra en mí.
Nada queda,
de lo que aprendí."	Magos Herrera	Alegria
37461	"Engrillado y entre cuatro
hombres de torvo mirar.
Así cruce Buenos Aires
por cantar la libertad.

Anchos portones se abrieron
para volverse a cerrar,
pabellones, pasadizos
y al fondo la oscuridad.

Por mi mujer y mi niño
recé lo que sé rezar,
mi guitarra clara y honda
sabe todo lo demás.

Engrillado y entre cuatro
hombres de torvo mirar.
Así cruce Buenos Aires
por cantar la libertad.

Duerme el tirano la siesta
con metralleta a la par,
por si pasa un inocente
cantando a la libertad."	Atahualpa Yupanqui	En Aquel Tiempo
16987	"Hey, gringo,
¿Dónde vamos esta noche?
A tomar y a darle de trancazos.
Aquí estan los verdaderos hombres...
!Bienvenidos a Sonora!

Todos en fiesta, esta fiesta,
todos en fiesta, esta..."	Vanni G	Sonora - Vanni G Vs. Dj Nick Extended
28616	"¿Dónde podría estar mejor?
Si puedes ven, si quieres voy.
El tiempo en los Urales:
entrada y desaparición.

Compré un billete para ti,
y te perdiste en la estación.
Tú y yo somos iguales,
no existe la comparación.

Vuelvo a entablar conversación,
son personas del mundo real.

El viaje fue espectacular,
mejor al ir que al regresar.
Tú sabes que lo sabes,
no existe forma de escapar.

Vuelvo a entablar conversación,
son personas del mundo real.
Verte llegar y algo falló,
los aviones que el cielo arrasó.

El tiempo en los Urales:
entrada y desaparición."	Tachenko	El Tiempo En Los Urales
